Id,Designator,Package,Quantity,Designation,Supplier and ref
2,"C35,C34,C32,C31,C40",C_0805_2012Metric,5,100u/6.3V,https://www.mouser.de/ProductDetail/Murata-Electronics/GRM21BR60J107ME15L?qs=sGAEpiMZZMs0AnBnWHyRQEdbEG7jlyBq0FoHnh9oJQ6vlhhkwuWCWg%3D%3D
3,U11,TSSOP-14_4.4x5mm_P0.65mm,1,TXB0104PW,https://www.mouser.de/ProductDetail/Texas-Instruments/TXB0104PWR?qs=sGAEpiMZZMsty6Jaj0%252BBBhonw%2FlHfIB4kNXoR7R5N7Y%3D
4,L1,XAL5050-103MEC,1,10uH,https://www.mouser.de/ProductDetail/Coilcraft/XAL5050-103MEC?qs=sGAEpiMZZMsg%252By3WlYCkU2kWFds1hA9DT8Bo6GoKcU0%3D
6,U8,iCE40-PL9K-CM81,1,iCE40-LP8K-CM81,https://www.mouser.de/ProductDetail/Lattice/iCE40LP8K-CM81?qs=%2Fha2pyFaduhJjgNWTtbTrLm%2FmK%252BzFZ8Nddz639YbQSbka0L3%2FhmULg%3D%3D
7,J4,micro_match_female_8pos_SMT,1,ENCODER1,https://www.mouser.de/ProductDetail/?qs=tddCKBGf4%252BORyb3AeIHMhg%3D%3D
8,DRV8323H1,QFN-40-1EP_6x6mm_Pitch0.5mm,1,DRV8323HRTA,https://www.mouser.de/ProductDetail/Texas-Instruments/DRV8323HRTAR?qs=sGAEpiMZZMvQcoNRkxSQkrbSyqzE5%252BUqUTyjmr8Ap5M%3D
9,"U2,U5",TSSOP-8_4.4x3mm_P0.65mm,2,LM2903,https://www.mouser.de/ProductDetail/Texas-Instruments/LM2903PWR?qs=sGAEpiMZZMuayl%2FEk2kXcddlv8%252BlGbVFmd4ffeCe7XE%3D
10,"Q2,Q1,Q4,Q5,Q3,Q6",VSON-8_3.3x3.3mm_P0.65mm_NexFET,6,BSZ100N06NS,https://www.mouser.de/ProductDetail/Infineon-Technologies/BSZ100N06NS?qs=sGAEpiMZZMshyDBzk1%2FWizSW%252BwlCH%2FhMZGkFsyLhRhgNyKjyBf4Wvw%3D%3D
11,U1,ltc2855,1,LTC2855CDEPBF,https://www.mouser.de/ProductDetail/Analog-Devices/LTC2855CDEPBF?qs=sGAEpiMZZMuXae9YOZoWdwZKRtw0vP0LLcEh6PNrP%2Fu2LcrRYdx9hg%3D%3D
13,"R27,R17,R16,R15,R14,R13,R12,R4,Rled1,R3,R33,R34,R35,R36,R37,R38,R45,R46,R48,R49,R47",R_0402_1005Metric,21,10k,
14,"C23,C22,C11,Cf1,C6,C2,C24,Cf2,C13,C14,C16,C29,C41,C44,C46,C47",C_0402_1005Metric,16,0.1uF,https://www.mouser.de/ProductDetail/Wurth-Elektronik/885012105018?qs=sGAEpiMZZMukHu%252BjC5l7YRTxnIahtzp%252B5jXYOUpOdJk%3D
15,"C21,C19,C18,C27,C20,C7,C30",C_0805_2012Metric,7,22uF/35V,https://www.mouser.de/ProductDetail/TDK/C2012JB1V226M125AC?qs=sGAEpiMZZMsh%252B1woXyUXj9l5PHLyix2VN0xVULcNPb0%3D
16,R24,R_0402_1005Metric,1,>500k -> 1xPWM,https://www.mouser.de/ProductDetail/Vishay-Dale/CRCW04021M00FKEDC?qs=sGAEpiMZZMu61qfTUdNhG9bvwnXh9sSrJ9FUx1IxdHD77QopthI%2FHw%3D%3D
17,C25,CP_Elec_6.3x4.5,1,220uF,https://www.mouser.de/ProductDetail/Nichicon/UCV1V221MCL1GS?qs=3H4r6eqUTPc1Mu2qfc2gBQ%3D%3D
18,"C8,C9",C_0603_1608Metric,2,2.2uF,https://www.mouser.de/ProductDetail/Murata-Electronics/GRM188R6YA225MA12D?qs=sGAEpiMZZMukHu%252BjC5l7YbA1Uz8mFEbwM%2FG9yF14ldE%3D
19,C12,C_0805_2012Metric,1,22uF,https://www.mouser.de/ProductDetail/Murata-Electronics/GRM32ER71A226KE20L?qs=sGAEpiMZZMs0AnBnWHyRQEWjzA2rN6H9zv8Umvh1o1M%3D
20,MAX176321,QFN-16-1EP_3x3mm_Pitch0.5mm,1,MAX17632,https://www.mouser.de/ProductDetail/Maxim-Integrated/MAX17632BATE%2b?qs=sGAEpiMZZMtitjHzVIkrqZzDzZChF5ZsVMXMK5D%252BJoTOEFN9wHWeIg%3D%3D
21,C10,C_0402_1005Metric,1,5600pF,
22,"R11,R10,R9,R8,R7,R6,R5,R32",R_0402_1005Metric,8,1k,
23,D2,D_0603_1608Metric,1,D_TVS,https://www.mouser.de/ProductDetail/Comchip-Technology/CPDU24V0U-HF?qs=sGAEpiMZZMvxHShE6WhpuxLkT2dpPLN9lxN%2F1bp48iQ%3D
26,J3,Wago_2060_2_SMD,1,POWER_IN,https://www.reichelt.com/de/en/smd-pcb-terminal-2-pole-rm-4-mm-white-wago-2060-452-p163243.html?&trstct=vrt_pdn
28,"C5,C3,C17,C26,C28,C36",C_0402_1005Metric,6,1uF,
29,C4,C_0402_1005Metric,1,47nF,
30,"C1,C15,C38",C_0402_1005Metric,3,10uF,https://www.mouser.de/ProductDetail/Taiyo-Yuden/GMK316BBJ106MLHT?qs=sGAEpiMZZMs0AnBnWHyRQEdbEG7jlyBqsuE0ohO6%2FTG8IvOnQte3Fw%3D%3D
32,D3,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,https://www.aliexpress.com/item/32434844290.html
38,U3,TLI4970,1,TLI4970,https://www.mouser.de/ProductDetail/Infineon-Technologies/TLI4970D025T5XUMA1?qs=sGAEpiMZZMsPYxdnOoPGek3bIquI0SC81TDQvBpkH3hDeJNB%252Ba1Lcg%3D%3D
44,J1,micro_match_female_10pos_SMT,1,ENCODER0,https://www.mouser.de/ProductDetail/TE-Connectivity/1-2178711-0?qs=sGAEpiMZZMs%252BGHln7q6pmzszEaJ39Bz8s%2FWzEF%2Fy7G9RIMOyZrReag%3D%3D
45,R39,R_0402_1005Metric,1,100,
46,R40,R_0402_1005Metric,1,1.5k,
47,"R41,R42",R_0402_1005Metric,2,68,
48,"R43,R44",R_0402_1005Metric,2,270,
49,U4,SOT-23-5,1,EEPROM,https://www.mouser.de/ProductDetail/Microchip-Technology-Atmel/AT24C16D-STUM-T?qs=sGAEpiMZZMuVhdAcoizlResxdM4lyyc5wt9oEaQZDcw%3D
52,J6,USB_Micro-B_Molex_47346-0001,1,USB_OTG,https://www.mouser.de/ProductDetail/Molex/47346-0001?qs=sGAEpiMZZMulM8LPOQ%252BykxKOk52KZ3dlOv3hZ6FZMJU%3D
53,U9,SOIC-8_3.9x4.9mm_P1.27mm,1,AT25SF081-SSHD-B,https://www.mouser.de/ProductDetail/Adesto-Technologies/AT25SF081-SSHD-B?qs=sGAEpiMZZMtI%252BQ06EiAoG%2FlgUd8kKVYlp%2F7q3rZb%2FK4%3D
54,SW2,PTS_810_SMT_Switch,1,SW_Push,https://www.mouser.de/ProductDetail/CK/PTS810SJK250SMTRLFS?qs=sGAEpiMZZMsgGjVA3toVBGTSKfeK9LPKcu5sgFDgdHE%3D
55,U6,SC70-5,1,MIC5504-3.3YM5-TR,https://www.mouser.de/ProductDetail/Microchip-Technology-Micrel/MIC5504-33YM5-TR?qs=%2Fha2pyFaduiQSwwJX7b6pPG5HoOt4HuL%2Fi3xzYFEJnvNhOYJx3yuOz%2Fwm%2F7g6yjh
56,U7,SC-70-C5,1,MIC5365-1.2YC5-TR,https://www.mouser.de/ProductDetail/Microchip-Technology-Micrel/MIC5365-12YC5-TR?qs=%2Fha2pyFaduhdZZHUKUk7Yfdd96MIddJegKqj0BjlT4hVygW35A6dj8pyinTf6cld
57,U10,CDFN3225-4LD-PL-1,1,DSC6001CI2A-016.0000T,https://www.mouser.de/ProductDetail/Microchip-Technology/DSC6001CI2A-0160000T?qs=%2Fha2pyFaduhK1i1Dq6oBkJ1yypogui8ZmyXONPCsrp%252BpPovK%2FfWh5e3zwpwo3hR%252B
58,"C37,C39,C42,C43",C_0402_1005Metric,4,10nF,
59,D1,LED_0603_1608Metric,1,LED,https://www.mouser.de/ProductDetail/ROHM-Semiconductor/SMLD12BN1WT86?qs=sGAEpiMZZMseGfSY3csMkdgyOOAg6kv282UZVHfDcQpOvZKuFfCYwA%3D%3D
60,L2,L_0603_1608Metric,1,Bead,https://www.mouser.de/ProductDetail/Murata-Electronics/BLM18PG600SZ1D?qs=%2Fha2pyFadujizgM5YpTU%2Fx%252B0QLGoGfQOTrilIQ3XFr0Hm%2FTUNaWmqQ%3D%3D
61,SW1,SW_DIP_SPSTx02_Slide_Copal_CHS-02A_W5.08mm_P1.27mm_JPin,1,SW_DIP_x02,https://www.digikey.de/product-detail/de/nidec-copal-electronics/CHS-02TB/563-1006-1-ND/948407
62,"D4,D5",LED_0402_1005Metric,2,LED_Small,https://www.mouser.de/ProductDetail/ROHM-Semiconductor/SML-P11VTT86R?qs=sGAEpiMZZMseGfSY3csMkXCa2F2p%252Bcf9bD5Rld77u6EyH8bhWZ2vZg%3D%3D
,,,115,,
